"subject_id" "activity_type" "variable" "mean" "st_deviation"
26 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.272691394545455 0.0514554177566557
27 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.265770253921569 0.0519990496531451
28 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.262005841764706 0.0722277965874586
29 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.265423066877551 0.0730505838546753
30 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.271415642261538 0.0709555972644924
2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.27761534806383 0.0802822960127844
4 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.279965329555556 0.0788883343333117
9 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.295923445 0.0899794139776364
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.290401594315789 0.103866415885419
12 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.281521097391304 0.0781335313986907
13 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.294907553404255 0.0681749644004351
18 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.288439468909091 0.0471977947475272
20 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.296144421355556 0.102825981986565
24 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.288631208909091 0.0785586956370586
1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.289188320408163 0.084156487553055
3 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.292423484693878 0.0808275138338618
5 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.29354392712766 0.102678100187829
6 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.277045258145833 0.119287228922879
7 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.28030708 0.076553503161455
8 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.283484089210526 0.0691283377063774
11 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.291605631956522 0.0964392931770526
14 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.293422115555556 0.077981992731368
15 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.280198851190476 0.106502149666492
16 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.295586802191489 0.102567577028942
17 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.29391828326087 0.0711177250430782
19 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.262688053871795 0.150199772001566
21 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.3014610196 0.116004804096624
22 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.284458963861111 0.105416033365705
23 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.289897411148148 0.0844266108916834
25 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.291329666206897 0.0767417082453319
26 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.2792845828 0.0868920544461553
27 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.2975441875 0.0828737374585916
28 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.293642076521739 0.0976501666406866
29 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.293140441083333 0.11171055129951
30 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.283190646967742 0.0898615251820265
2 "SITTING" "tBodyAcc-mean()-X" 0.27708735173913 0.0231347346725389
4 "SITTING" "tBodyAcc-mean()-X" 0.27153827992 0.0313351643781847
9 "SITTING" "tBodyAcc-mean()-X" 0.24832674354 0.103836178379593
10 "SITTING" "tBodyAcc-mean()-X" 0.270612056481481 0.0323332671814204
12 "SITTING" "tBodyAcc-mean()-X" 0.275007224901961 0.0193511130591657
13 "SITTING" "tBodyAcc-mean()-X" 0.274328499591837 0.0172939531105079
18 "SITTING" "tBodyAcc-mean()-X" 0.27727001877193 0.00583589866880478
20 "SITTING" "tBodyAcc-mean()-X" 0.278045439090909 0.0211816969241415
24 "SITTING" "tBodyAcc-mean()-X" 0.273475690147059 0.0146029993244331
1 "SITTING" "tBodyAcc-mean()-X" 0.261237565425532 0.063329656530637
3 "SITTING" "tBodyAcc-mean()-X" 0.257197599134615 0.0866033266328057
5 "SITTING" "tBodyAcc-mean()-X" 0.273694139545455 0.026634755481345
6 "SITTING" "tBodyAcc-mean()-X" 0.276778487454545 0.00981744014837545
7 "SITTING" "tBodyAcc-mean()-X" 0.284674637291667 0.0417043335874915
8 "SITTING" "tBodyAcc-mean()-X" 0.267491472934783 0.0479635581947457
11 "SITTING" "tBodyAcc-mean()-X" 0.276590197358491 0.013306383478428
14 "SITTING" "tBodyAcc-mean()-X" 0.279990577037037 0.0269056322962773
15 "SITTING" "tBodyAcc-mean()-X" 0.27290337979661 0.0284046710728746
16 "SITTING" "tBodyAcc-mean()-X" 0.280768574492754 0.037065732837318
17 "SITTING" "tBodyAcc-mean()-X" 0.2773570196875 0.011718481374059
19 "SITTING" "tBodyAcc-mean()-X" 0.273830316164384 0.0219032946247565
21 "SITTING" "tBodyAcc-mean()-X" 0.277539616823529 0.00781790199649409
22 "SITTING" "tBodyAcc-mean()-X" 0.273583822709677 0.0378564309397627
23 "SITTING" "tBodyAcc-mean()-X" 0.273351251617647 0.0195103590119826
25 "SITTING" "tBodyAcc-mean()-X" 0.278541482461538 0.0143577060845963
26 "SITTING" "tBodyAcc-mean()-X" 0.258243530166667 0.0987309826511342
27 "SITTING" "tBodyAcc-mean()-X" 0.273941302571429 0.0278669051854341
28 "SITTING" "tBodyAcc-mean()-X" 0.276977629444444 0.016174283396921
29 "SITTING" "tBodyAcc-mean()-X" 0.2771799775 0.0124782458392964
30 "SITTING" "tBodyAcc-mean()-X" 0.268336081379032 0.0604967859107571
2 "STANDING" "tBodyAcc-mean()-X" 0.277911472222222 0.0140629722535917
4 "STANDING" "tBodyAcc-mean()-X" 0.280499745892857 0.0284329791902268
9 "STANDING" "tBodyAcc-mean()-X" 0.282310057333333 0.0172163769587329
10 "STANDING" "tBodyAcc-mean()-X" 0.276650300681818 0.00992605543413931
12 "STANDING" "tBodyAcc-mean()-X" 0.277405834918033 0.0138818872558422
13 "STANDING" "tBodyAcc-mean()-X" 0.277758431052632 0.0101473189011036
18 "STANDING" "tBodyAcc-mean()-X" 0.278458805890411 0.00461346109731133
20 "STANDING" "tBodyAcc-mean()-X" 0.278076904657534 0.0213345056039224
24 "STANDING" "tBodyAcc-mean()-X" 0.280348883913043 0.0185902253839955
1 "STANDING" "tBodyAcc-mean()-X" 0.278917629056604 0.00799182813175176
3 "STANDING" "tBodyAcc-mean()-X" 0.280046513278689 0.0251756660619426
5 "STANDING" "tBodyAcc-mean()-X" 0.282544390892857 0.0348102287811254
6 "STANDING" "tBodyAcc-mean()-X" 0.280346248596491 0.0247417204923232
7 "STANDING" "tBodyAcc-mean()-X" 0.282723539433962 0.023721836482764
8 "STANDING" "tBodyAcc-mean()-X" 0.279620986111111 0.0129697418920735
11 "STANDING" "tBodyAcc-mean()-X" 0.277715562765957 0.00384727330536198
14 "STANDING" "tBodyAcc-mean()-X" 0.280545613833333 0.029076701855683
15 "STANDING" "tBodyAcc-mean()-X" 0.278915803962264 0.0121224330104311
16 "STANDING" "tBodyAcc-mean()-X" 0.283497402948718 0.0427352157230143
17 "STANDING" "tBodyAcc-mean()-X" 0.277942503333333 0.0208125996456809
19 "STANDING" "tBodyAcc-mean()-X" 0.27817226 0.00895697324285727
21 "STANDING" "tBodyAcc-mean()-X" 0.27695224258427 0.0246287892771844
22 "STANDING" "tBodyAcc-mean()-X" 0.279053861587302 0.0117501334226377
23 "STANDING" "tBodyAcc-mean()-X" 0.277899323235294 0.0154660318869134
25 "STANDING" "tBodyAcc-mean()-X" 0.278013701621622 0.00833660376884138
26 "STANDING" "tBodyAcc-mean()-X" 0.281127035405405 0.0185588086573529
27 "STANDING" "tBodyAcc-mean()-X" 0.279566921625 0.0137059309837146
28 "STANDING" "tBodyAcc-mean()-X" 0.277795069113924 0.00900500898355497
29 "STANDING" "tBodyAcc-mean()-X" 0.277965065846154 0.00441044311480643
30 "STANDING" "tBodyAcc-mean()-X" 0.277112699152542 0.00374225282809207
2 "LAYING" "tBodyAcc-mean()-X" 0.281373403958333 0.0241919322368203
4 "LAYING" "tBodyAcc-mean()-X" 0.263559214981481 0.088418443478535
9 "LAYING" "tBodyAcc-mean()-X" 0.2591955368 0.108141068125289
10 "LAYING" "tBodyAcc-mean()-X" 0.280230574137931 0.0635648494301446
12 "LAYING" "tBodyAcc-mean()-X" 0.260113433 0.107449232865863
13 "LAYING" "tBodyAcc-mean()-X" 0.276716360483871 0.0367807496462763
18 "LAYING" "tBodyAcc-mean()-X" 0.274691576923077 0.0142223675218043
20 "LAYING" "tBodyAcc-mean()-X" 0.239507882205882 0.139003698260368
24 "LAYING" "tBodyAcc-mean()-X" 0.272850494930556 0.0398421153776814
1 "LAYING" "tBodyAcc-mean()-X" 0.22159824394 0.168930385215445
3 "LAYING" "tBodyAcc-mean()-X" 0.275516852741935 0.0141075464876615
5 "LAYING" "tBodyAcc-mean()-X" 0.278334325576923 0.0322119855144363
6 "LAYING" "tBodyAcc-mean()-X" 0.248656520140351 0.182203788482937
7 "LAYING" "tBodyAcc-mean()-X" 0.250176694038462 0.123395733951572
8 "LAYING" "tBodyAcc-mean()-X" 0.261254282907407 0.111711896325732
11 "LAYING" "tBodyAcc-mean()-X" 0.280592970877193 0.0193456331242288
14 "LAYING" "tBodyAcc-mean()-X" 0.233275439803922 0.254558886344458
15 "LAYING" "tBodyAcc-mean()-X" 0.2894756525 0.0485806471964203
16 "LAYING" "tBodyAcc-mean()-X" 0.274227162571429 0.0316165557492499
17 "LAYING" "tBodyAcc-mean()-X" 0.269780085577465 0.0407116937287411
19 "LAYING" "tBodyAcc-mean()-X" 0.272653733493976 0.053077769415335
21 "LAYING" "tBodyAcc-mean()-X" 0.271325472455556 0.0463649821748558
22 "LAYING" "tBodyAcc-mean()-X" 0.279959721194444 0.0756678592832422
23 "LAYING" "tBodyAcc-mean()-X" 0.274038007986111 0.0406223099489445
25 "LAYING" "tBodyAcc-mean()-X" 0.250791828613699 0.245543314506594
26 "LAYING" "tBodyAcc-mean()-X" 0.271645864540789 0.0494425259217608
27 "LAYING" "tBodyAcc-mean()-X" 0.274102492432432 0.0300293512598499
28 "LAYING" "tBodyAcc-mean()-X" 0.2759134825 0.0330079981474808
29 "LAYING" "tBodyAcc-mean()-X" 0.287295196811594 0.0431637637668102
30 "LAYING" "tBodyAcc-mean()-X" 0.281033900571429 0.0203087724817983
2 "WALKING" "tBodyAcc-mean()-Y" -0.0185949199145763 0.0183413245492653
4 "WALKING" "tBodyAcc-mean()-Y" -0.0148399475341667 0.0200830805239982
9 "WALKING" "tBodyAcc-mean()-Y" -0.0180891971284423 0.0201535479289986
10 "WALKING" "tBodyAcc-mean()-Y" -0.017022351190566 0.0169782647555887
12 "WALKING" "tBodyAcc-mean()-Y" -0.015560927606 0.0202100556056893
13 "WALKING" "tBodyAcc-mean()-Y" -0.0185660651947368 0.0198553282798571
18 "WALKING" "tBodyAcc-mean()-Y" -0.0178023631866071 0.0182284359914921
20 "WALKING" "tBodyAcc-mean()-Y" -0.021199992245098 0.0257039356056005
24 "WALKING" "tBodyAcc-mean()-Y" -0.0225446400534483 0.0174670841947952
1 "WALKING" "tBodyAcc-mean()-Y" -0.0173838185273684 0.0181866836950471
3 "WALKING" "tBodyAcc-mean()-Y" -0.0171767844203448 0.0204183643360423
5 "WALKING" "tBodyAcc-mean()-Y" -0.0172850317482679 0.0243016585193602
6 "WALKING" "tBodyAcc-mean()-Y" -0.0168954189082456 0.024445224935336
7 "WALKING" "tBodyAcc-mean()-Y" -0.018653665345614 0.0175776275452626
8 "WALKING" "tBodyAcc-mean()-Y" -0.0186628865310417 0.0370369671132173
11 "WALKING" "tBodyAcc-mean()-Y" -0.0166475833623729 0.0182269633655327
14 "WALKING" "tBodyAcc-mean()-Y" -0.0217785380966102 0.0254010876847754
15 "WALKING" "tBodyAcc-mean()-Y" -0.0170809740090741 0.02456237106191
16 "WALKING" "tBodyAcc-mean()-Y" -0.0204286929452941 0.0160121036735262
17 "WALKING" "tBodyAcc-mean()-Y" -0.0184875403339344 0.0124837732866678
19 "WALKING" "tBodyAcc-mean()-Y" -0.0191773587903846 0.0288051520777464
21 "WALKING" "tBodyAcc-mean()-Y" -0.0181610317526923 0.0212394132594959
22 "WALKING" "tBodyAcc-mean()-Y" -0.0167213607957174 0.0239797954743526
23 "WALKING" "tBodyAcc-mean()-Y" -0.0183618711932203 0.0185749201105441
25 "WALKING" "tBodyAcc-mean()-Y" -0.0186477624716216 0.0172618182898481
26 "WALKING" "tBodyAcc-mean()-Y" -0.0154259586949153 0.0196264177559248
27 "WALKING" "tBodyAcc-mean()-Y" -0.0166478783221912 0.0166973594698486
28 "WALKING" "tBodyAcc-mean()-Y" -0.0156759722981481 0.0175144544024306
29 "WALKING" "tBodyAcc-mean()-Y" -0.0162915600588679 0.0180511378419758
30 "WALKING" "tBodyAcc-mean()-Y" -0.0175880385730769 0.0147656543050041
2 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0214121132045833 0.0412731157865029
4 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0319804295729615 0.0420460797716443
9 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0195101099975714 0.0372246567488375
10 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0143854920340426 0.0266829723768817
12 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0263574903403846 0.0270077214089677
13 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0277392253910909 0.0439768828350816
18 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0222060684378914 0.028664213409359
20 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0282258047588235 0.0388481449059289
24 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0251979434569492 0.0413690429952679
1 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0239531492643396 0.021747886931539
3 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0324109410555932 0.0456187042653542
5 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0325269755153191 0.0476591776415229
6 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0272425385070588 0.0383346599462068
7 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0275639005607843 0.0289225723479631
8 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0282415136341463 0.0470837021977811
11 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0303157822055556 0.0382889758621394
14 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0204388180024074 0.0351244705308209
15 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0287523860708333 0.0335982659280405
16 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0143654945011765 0.0319015923235136
17 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0228645614308333 0.0345989094917963
19 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0303986615775 0.0560636822948236
21 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0237218695148936 0.030145429735702
22 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0268622561133333 0.0376093791375486
23 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0323844029237255 0.0432852308013894
25 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0269863524264615 0.0334973225933234
26 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0281633797398182 0.0269649344794604
27 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0200953324078431 0.0192842192381813
28 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0279443943478431 0.0316014320784595
29 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0299465312326531 0.0359553831039372
30 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0253311698786154 0.0458628867317761
2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0226614158361702 0.0232169224708284
4 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.00980200850666667 0.0244576434511681
9 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0203994269075476 0.0289125234957057
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0200050770710526 0.0237865305051091
12 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.018084266865793 0.0248333187505695
13 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0143723839108511 0.0232142070001947
18 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0168666920221818 0.0264371268979224
20 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.00964120773155556 0.0302889219351281
24 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0145730348310909 0.0227343574792169
1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.00991850461020408 0.0258222216993833
3 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0193554079328571 0.0222540608376954
5 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.00850107533191489 0.0331254066081556
6 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.019536840063125 0.0307480091325881
7 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0166332372978723 0.0216440361598095
8 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0211058674973684 0.0214304772538155
11 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0178097721219565 0.027604419965947
14 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0200141413657778 0.0329295795164867
15 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.00563047804309524 0.0314794649282313
16 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0183898583787234 0.0178467647205496
17 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0167359404347826 0.0222451036205331
19 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0145942275069487 0.0362387179798363
21 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0173195390157778 0.0344149960122326
22 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0197999371686389 0.0216730737736294
23 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0162111457238889 0.0279197557144947
25 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0210170522987931 0.0258172535165117
26 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.01262580966778 0.0242043514975263
27 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0135564467159091 0.0206130773460977
28 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0220230465913043 0.0221557039337675
29 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.01494121505625 0.0261939554489505
30 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0174383900204839 0.0303613908129147
2 "SITTING" "tBodyAcc-mean()-Y" -0.0156879937282609 0.0276809995746473
4 "SITTING" "tBodyAcc-mean()-Y" -0.007163065158 0.0372053998038389
9 "SITTING" "tBodyAcc-mean()-Y" -0.02701677698 0.0341576213844816
10 "SITTING" "tBodyAcc-mean()-Y" -0.015042681852037 0.0324357614448564
12 "SITTING" "tBodyAcc-mean()-Y" -0.0157892988523529 0.0148942412452366
13 "SITTING" "tBodyAcc-mean()-Y" -0.00587732936326531 0.0364668844084672
18 "SITTING" "tBodyAcc-mean()-Y" -0.0128691279736842 0.0109542600490237
20 "SITTING" "tBodyAcc-mean()-Y" -0.0147229305131818 0.0156114002865185
24 "SITTING" "tBodyAcc-mean()-Y" -0.0131255097938235 0.0197382620416965
1 "SITTING" "tBodyAcc-mean()-Y" -0.00130828765170213 0.0474652969368653
3 "SITTING" "tBodyAcc-mean()-Y" -0.00350299841730769 0.064827022969322
5 "SITTING" "tBodyAcc-mean()-Y" -0.00990083527045455 0.0360536609497303
6 "SITTING" "tBodyAcc-mean()-Y" -0.0145911615290909 0.024077750181471
7 "SITTING" "tBodyAcc-mean()-Y" -0.01461097580375 0.0235582249662006
8 "SITTING" "tBodyAcc-mean()-Y" -0.00672550621304348 0.0426400052340109
11 "SITTING" "tBodyAcc-mean()-Y" -0.0149195616754717 0.0221528023622721
14 "SITTING" "tBodyAcc-mean()-Y" -0.00870565463888889 0.0392028980506485
15 "SITTING" "tBodyAcc-mean()-Y" -0.0117188472271186 0.0373431733264143
16 "SITTING" "tBodyAcc-mean()-Y" -0.0102497939956522 0.0254196112059142
17 "SITTING" "tBodyAcc-mean()-Y" -0.014156274084375 0.0272778517173823
19 "SITTING" "tBodyAcc-mean()-Y" -0.016739260030137 0.0142887964065598
21 "SITTING" "tBodyAcc-mean()-Y" -0.0144009705494118 0.0062289689326643
22 "SITTING" "tBodyAcc-mean()-Y" -0.0123468446419355 0.0369240132331025
23 "SITTING" "tBodyAcc-mean()-Y" -0.0133945015676471 0.0277265555747024
25 "SITTING" "tBodyAcc-mean()-Y" -0.0147696808030769 0.0169821826292141
26 "SITTING" "tBodyAcc-mean()-Y" -0.00713364541358974 0.0497937207732002
27 "SITTING" "tBodyAcc-mean()-Y" -0.0155269799285714 0.0111489194109191
28 "SITTING" "tBodyAcc-mean()-Y" -0.0185404441258333 0.0149737377391266
29 "SITTING" "tBodyAcc-mean()-Y" -0.016630680375 0.0109236100870391
30 "SITTING" "tBodyAcc-mean()-Y" -0.00804731295322581 0.0482047517639805
2 "STANDING" "tBodyAcc-mean()-Y" -0.0184208270166667 0.0120526005289779
4 "STANDING" "tBodyAcc-mean()-Y" -0.00948911098553571 0.0499781670196361
9 "STANDING" "tBodyAcc-mean()-Y" -0.0200454954022222 0.0185608826524985
10 "STANDING" "tBodyAcc-mean()-Y" -0.0155418603409091 0.0133886594069737
12 "STANDING" "tBodyAcc-mean()-Y" -0.0169002543196721 0.0167356171971094
13 "STANDING" "tBodyAcc-mean()-Y" -0.0167891993964912 0.012717800287919
18 "STANDING" "tBodyAcc-mean()-Y" -0.0166353518150685 0.00774015024823499
